          source           |     relationship     |          target           
 Elaine Noble              | Interacted With      | Katharine Kane
 Elaine Noble              | Colleague Of         | Shanley
 Elan Steinberg            | Employee Of          | World Jewish Congress
 Eleanor                   | Sibling Of           | Pedro II.
 Eleanor of Aquitaine      | Spouse Of            | Henry II of England
 Eleanor Roosevelt         | Spouse Of            | Franklin D. Roosevelt
 Eleanor Shaw              | Spouse Of            | Senator John 'Johnny' Ise
 Elena Cuadra              | Sibling Of           | Estela de la Cuadra
 Elena Kagan               | Member Of            | Supreme Court
 Eleonora                  | Spouse Of            | Moro
 Elias                     | Leader Of            | Franciscans
 Elias                     | Member Of            | Order of Preachers
 Elihu Root                | Associate Of         | Andrew Carnegie
 Elihu Root                | Founder Of           | Council on Foreign Relati
 Elihu Root                | Employee Of          | Teddy Roosevelt
 Elihu Root                | Employee Of          | William McKinley
 Eli Lake                  | Employee Of          | NY Sun
 Elipandust                | Student Of           | Felix of Urgel
 Elipandust                | Lives In             | Toledo
 Elisabeth of Austria      | Child Of             | Maximilian II
 Elisabeth of Valois       | Child Of             | Henry II
 Elisabetta Povoledo       | Collaborator Of      | Laurie Goodstein
 Elise Armacost            | Employee Of          | Baltimore Police
 Elitist526                | Founder Of           | Cameron investigation
 Elizabeth                 | Child Of             | Anne Boleyn
 Elizabeth                 | Spouse Of            | Count Nadasdy
 Elizabeth                 | Employer Of          | Helen Kottarenin
 Elizabeth                 | Supporter Of         | Holland
 Elizabeth                 | Parent Of            | Jackson
 Elizabeth                 | Associate Of         | John Dee
 Elizabeth                 | Sibling Of           | Mary
 Elizabeth                 | Parent Of            | Robert
 Elizabeth Báthory         | Member Of            | Báthory family
 Elizabeth Báthory         | Lives In             | Cachtice
 Elizabeth Báthory         | Spouse Of            | Ferenc Nadasdy
 Elizabeth Báthory         | Spouse Of            | Ferenc Nádasdy de Nádasd
 Elizabeth Báthory         | Lives In             | Hungary
 Elizabeth Dias            | Works For            | Time
 Elizabeth I               | Sibling Of           | Mary
 Elizabeth of France       | Spouse Of            | Philip II of Spain
 Elizabeth Talbot          | Employee Of          | New Hampshire Department 
 Elizabeth Tenety          | Employee Of          | The Washington Post
 Elizabeth Wasiutynski     | Employee Of          | Solidarity
 Elizabeth Yore            | Employee Of          | The Remnant
 Ella Bailey               | Member Of            | Manson Family
 Ella Morton               | Works For            | Slate.com
 Ellen                     | Parent Of            | Thomas
 Ellen Rose “Maexie” née R | Child Of             | Friedrich “Fritz” Regenst
 Elliott Roosevelt         | Child Of             | Franklin Roosevelt
 E. Lobkowicz              | Works For            | Ministry of Foreign Affai
 E. Lobkowicz              | Works For            | Vatican
 Elon Musk                 | Founder Of           | PayPal
 Elon Musk                 | Founder Of           | SpaceX
 Elon Musk                 | Founder Of           | Tesla Motors
 Elsa Lowenthal            | Spouse Of            | Einstein
 Emad Salem                | Employee Of          | FBI
 Emad Salem                | Associate Of         | FBI
 Emad Salem                | Associate Of         | the Blind Sheik
 Emanuela Orlandi          | Member Of            | Orlandi family
 Emanuela Orlandi          | Lives In             | Rome
 Emanuela Orlandi          | Lives In             | St. Apollinaire Palace
 Emanuela Orlandi          | Member Of            | Vatican State
 Emanuele Canevaro         | Owner Of             | Bassetto farm
 Emanuele Canevaro         | Lives In             | Florence
 Emanuele Giulano          | Works For            | Antimafia
 Emanuel M. Josephson      | Employee Of          | Chedney Press
 Emanuel Rajich            | Lives In             | Gornji Vakuf
 Emanuel Stickelberger     | Associate Of         | John Calvin
 Emeric                    | Leader Of            | Anchiin
 Emerson Bigelow           | Employee Of          | U.S. Treasury Department
 Emery West                | Leader Of            | NWI
 E. Michael Jones          | Employee Of          | Notre Dame
 E. Michael McCann         | Employee Of          | district attorney’s offic
 Emile Dard                | Lives In             | Munich
 Emile Dard                | Employee Of          | Quai d'Orsay
 Emile Levita              | Employee Of          | Chartered Bank of India, 
 Emile Levita              | Child Of             | Elia Levita
 Emil Frei                 | Employee Of          | Dana-Farber Cancer Instit
 Emil Frei                 | Employee Of          | National Cancer Institute
 Emil Frei                 | Attended             | St. Louis University
 Emil Frei III             | Subordinate Of       | Gordon Zubrod
 Emil Frei III             | Employee Of          | National Cancer Institute
 Emil Frei III             | Member Of            | Navy
 Emil Frei III             | Employee Of          | United States Navy
 Emil Frei III             | Graduate Of          | Yale Medical School
 Emil Freireich            | Child Of             | David Freireich
 Emil Freireich            | Child Of             | Mary Freireich
 Emil Freireich            | Employee Of          | NCI
 Emilio Estevez            | Child Of             | Martin Sheen
 Emilio Estevez            | Collaborator Of      | The Way
 Emilio Massera            | Subordinate Of       | Jorge Rafael Videla
 Emil Max Hödel            | Member Of            | Leipzig Social-Democratic
 Emil “Tom” Frei III       | Employee Of          | NCI
 Emma Foster               | Attended             | Sacred Heart Primary Scho
 Emmanuel Joseph Sieyès    | Student Of           | Jesuits
 Emmanuel-Joseph Sieyès    | Associate Of         | Napoleon Bonaparte
 Emma Thomas               | Employee Of          | Daily Mail
 Emmerich                  | Employer Of          | Godzilla
 Emmerich                  | Employer Of          | Independence Day
 Emmerich                  | Employer Of          | The Day After Tomorrow
 Emperor                   | Interacted With      | Louis Pasteur
 Emperor                   | Supporter Of         | Society of the Leopold Fo
 Emperor Louis Napoleon    | Niece/Nephew Of      | Napoleon Bonaparte
 Emperor of Austria        | Employer Of          | St. Leopold Foundation
 Encyclopedists            | Employer Of          | French Encyclopedia of Sc
 Enders                    | Member Of            | Delta Kappa Epsilon
 Enders                    | Member Of            | Scroll and Key Society
 Enea Silvio de’ Piccolomi | Ally Of              | Dracula
 Enea Silvio de’ Piccolomi | Superior Of          | Ladislas V
 England                   | Subordinate Of       | Rome
 English Civil War         | Superior Of          | Oliver Cromwell
 Enoch                     | Child Of             | Cain
 Enoch                     | Interacted With      | God
 Enos                      | Parent Of            | Cainan
 Enrico Cuccia             | Employee Of          | Mediobanca
 Enrico De Pedis           | Leader Of            | Banda della Magliana
 Enrico De Pedis           | Member Of            | Basilica of Sant’Apollina
 Enrico Mattei             | Founder Of           | ENI (Ente Nazionale Idroc
 Enrico Nicoletti          | Member Of            | Banda
 Enzo Mastroilli           | Lives In             | Argentina
 Eobert                    | Member Of            | crown of Aragon
 Eobert                    | Lives In             | France
 Eodrigo de Cintra         | Employee Of          | Joao I.
 Eoger Bernard the Great o | Parent Of            | Eoger
 Eoger Bernard the Great o | Spouse Of            | Ermessende
 E. Pacelli                | Leader Of            | Catholic Centre Party
 E. Pacelli                | Lives In             | Munich
 Erasmus                   | Associate Of         | Albert, Cardinal - Archbi
 Erasmus                   | Graduate Of          | College of Montaigu
 Erasmus                   | Friend Of            | Luther
 Ercole                    | Parent Of            | Emanuela Orlandi
 Ercole Orlandi            | Parent Of            | Emanuela Orlandi
 Ercole Orlandi            | Employee Of          | Vatican
 Eriberto                  | Leader Of            | Milan
 Eriberto                  | Lives In             | Milan
 Eric                      | Child Of             | Donald John Trump
 Eric                      | Attended             | Georgetown
 Eric                      | Spouse Of            | Lara Yunaska
 Erica Ritz                | Works For            | the Blaze
 Eric Harris               | Attended             | Columbine high school
 Eric Holder               | Subordinate Of       | Barack Obama
 Eric Holder               | Superior Of          | Federal Marshalls
 Eric Holder               | Leader Of            | Justice Department
 Erich Traub               | Member Of            | German American Bund
 Erich Traub               | Employee Of          | Heinrich Himmler
 Erich Traub               | Member Of            | National Socialist Motor 
 Erich Traub               | Student Of           | Richard Shope
 Erick Stakelbeck          | Employee Of          | CBN
 Eric Lyman                | Employee Of          | Religion News Service
 Eric Norden               | Works For            | Playboy
 Eric O'Neill              | Employee Of          | FBI
 Eric Pianka               | Employee Of          | University of Texas
 Erik Dean Prince          | Founder Of           | Blackwater
 Erik Dean Prince          | Founder Of           | Blackwater Security Consu
 Erik Hedegaard            | Employee Of          | Rolling Stone
 Erik Ortiz                | Employee Of          | NY Daily News
 Erik Prince               | Founder Of           | Blackwater
 Erik Prince               | Associate Of         | Blackwater
 Erik Prince               | Child Of             | Elsa Prince
 Erik Prince               | Leader Of            | Frontier Services Group
 Erik Prince               | Employee Of          | Newsweek
 Erik Wemple               | Employee Of          | Washington Post
 Erin Banco                | Employee Of          | International Business Ti
 Erle Cocke                | Employee Of          | Nugan Hand
 Ermessende                | Child Of             | Arnaldo, Vizconde of Cast
 Ermessende                | Spouse Of            | Roger Bernard the Great o
 Ernest Gruening           | Member Of            | US Senate
 Ernest Koroma             | Leader Of            | Sierra Leone
 Ernest Koroma             | Employee Of          | St. Francis Secondary Sch
 Ernesto Diotallevi        | Leader Of            | Banda della Magliana
 Ernesto Diotallevi        | Collaborator Of      | Flavio Carboni
 Ernest Onimus             | Lives In             | Paris
 Ernesto Signoracci        | Sibling Of           | Arnaldo Signoracci
 Ernest Sandeen            | Employer Of          | The Roots of Fundamentali
 Ernst Kaltenbrunner       | Leader Of            | Austrian SS
 Ernst Kaltenbrunner       | Member Of            | Seyss-Inquart's governmen
 Ernst von Weiszaecker     | Employee Of          | Ministry of Foreign Affai
 Ernst von Weiszaecker     | Member Of            | SS
 Ernst von Weiszaecker     | Lives In             | Vatican
 Ernst von Weiszaecker     | Employer Of          | Vatican
 E. Roland Harriman        | Founder Of           | Harriman Brothers & Compa
 Erwin Goddard             | Lives In             | West Virginia
 Erwin Teufel              | Supporter Of         | Observatory of the German
 Erzsébet Báthory          | Member Of            | Báthory family
 Erzsébet Báthory          | Lives In             | Čachtice
 Erzsebet Nadasdy          | Spouse Of            | Ferencz Nadasdy
 Esclairmonde              | Sibling Of           | Count of Foix
 Esclarmonde               | Parent Of            | Guiraud
 Esparrago                 | Lives In             | Tarragona
 Esther Jenner             | Parent Of            | Caitlyn Jenner
 Eta Najfeld               | Lives In             | Belgrade
 Ethan Huff                | Employee Of          | Natural News
 Ethel Douglas-Hume        | Associate Of         | Montague Richard Leverson
 Ethel Kennedy             | Spouse Of            | Robert Francis Kennedy, S
 Etienne Corrillaut        | Associate Of         | Gilles de Rais
 Etienne de Gatine         | Employee Of          | Inquisition of Languedoc
 Etienne de Gatine         | Leader Of            | Narbonne
 Etienne de Saint Thibery  | Member Of            | Franciscans
 Etienne de Saint Thibery  | Associate Of         | Guillem Arnaud
 Etienne Guibourg          | Spouse Of            | Jeanne Chanfrain
 Etienne Mascot            | Employer Of          | Master Eaymond Calverie
 Etta                      | Child Of             | Margaret Bullen
 Eudes                     | Lives In             | Toul
 Eugen Beluhan             | Associate Of         | Ivan Miletic
 Eugene Bartholomeus       | Employee Of          | CIA
 Eugene Davey Davis        | Grandchild Of        | Alton Ochsner
 Eugène Defrance           | Employer Of          | Catherine de Medici et Se
 Eugene “John” Paul Getty, | Attended             | Jesuit University of San 
 Eugene “John” Paul Getty, | Attended             | St. Ignatius College Prep
 Eugene Kvaternik          | Subordinate Of       | Independent State of Croa
 Eugene Reed               | Grandparent Of       | Polly
 Eugène Tisserant          | Leader Of            | College of Cardinals
 Eugenia                   | Parent Of            | Anthony Fauci
 Eugenia                   | Attended             | Brooklyn College
 Eugenia                   | Attended             | Hunter College
 Eugenia Lillian Abys      | Parent Of            | Anthony Stephen Fauci
 Eugenics Record Office    | Subordinate Of       | Carnegie Institution
 Eugenie                   | Supporter Of         | Louis Pasteur
 Eugenio Maria Giuseppe Gi | Works For            | Germany
 Eugenio Maria Giuseppe Gi | Works For            | Prussia
 Eugenio Pacelli           | Collaborator Of      | Franz von Papen
 Eugenio Pacelli           | Employee Of          | Pius XI
 Eugenio Pacelli           | Employee Of          | Vatican
 Eugenio Pacelli           | Employer Of          | William Donovan
 Eugenius III              | Superior Of          | Templars
 Eugen Kvaternik           | Associate Of         | Ante Pavelic
 Eugen Kvaternik-Dido      | Leader Of            | Croatian State Police
 Euripides                 | Founder Of           | The Bacchantes
 European Parliament       | Member Of            | European Union
 European Parliament       | Opponent Of          | Gladio
 Eusebio Kino              | Employee Of          | Ingolstadt College
 Eusebius of Doryla^um     | Adversary Of         | Eutyches
 Eustace                   | Associate Of         | Mullins
 Eustace Mullins           | Student Of           | Ezra Pound
 Eustach du Bellay         | Leader Of            | Archbishop of Paris
 Eustach du Bellay         | Opponent Of          | Society of Jesus
 Eutyches                  | Opponent Of          | Nestorius
 Eutyches                  | Friend Of            | St. Cyril
 Eutychius                 | Leader Of            | patriarchate of Constanti
 Evan Chandler             | Parent Of            | Jordan
 Evans                     | Associate Of         | Inquisition
 Evans                     | Lives In             | San Francisco
 Evan Thomas               | Employee Of          | Newsweek
 Eve                       | Spouse Of            | Adam
 Eve-Ann Prentice          | Employee Of          | Guardian
 Eve-Ann Prentice          | Employee Of          | London Times
 Evelyn                    | Child Of             | Hans Albert
 Evelyn                    | Parent Of            | Richard Allen Davis
 Eve Nichol                | Parent Of            | Polly
 Eve Nichol                | Parent Of            | Polly
 Everard                   | Associate Of         | Filippo
 Everard of Chateauneuf    | Employee Of          | Count Hervey of I^evers
 Everette Howard Hunt, Jr. | Employee Of          | CIA
 Everett Howard Hunt       | Employee Of          | CIA
 Everett Howard Hunt       | Spouse Of            | Dorothy
 Evervin                   | Member Of            | Steinfeld
 Ewald von Kleist          | Leader Of            | 1st Panzer Group
 Ewan Morgan               | Employee Of          | Scientific American
 Ewen Callaway             | Employee Of          | Nature
 Eyder Peralta             | Employee Of          | NPR
 Ezekiel                   | Member Of            | Israel
 Ezra                      | Collaborator Of      | Nehemiah
 Ezra                      | Associate Of         | Nehemiah
 Ezzelin                   | Child Of             | Ezzehn
 Ezzelin                   | Member Of            | Ghibelline faction
 Ezzelin                   | Owner Of             | Padua
 Ezzelin                   | Leader Of            | Vicenza
 Ezzelin da Eomano         | Lives In             | Trevisan
 Ezzelin da Romano         | Subordinate Of       | Frederic
 F2clix Ismael Rodr2guez   | Collaborator Of      | E. Howard Hunt
 F2clix Ismael Rodr2guez   | Associate Of         | George Herbert Walker Bus
 Fabian                    | Employee Of          | Vatican
 Faget                     | Member Of            | Ustashi
 Faith                     | Child Of             | Berg
 family firm               | Employer Of          | Ann Coulter
 family firm               | Employer Of          | Dinesh D’Souza
 family firm               | Employer Of          | William F. Buckley, Jr.
 Farel                     | Lives In             | Lausanne
 Farel                     | Lives In             | Neuchâtel
 Farel                     | Colleague Of         | Viret
 Farida al Akle            | Teacher Of           | Thomas Edward Lawrence
 Farooq Yousaf             | Works For            | Pravda
 Fatah                     | Subordinate Of       | PLO
 Father Alighiero Tondi    | Employee Of          | Gregorian Pontifical Univ
 Father Alighiero Tondi    | Member Of            | Jesuits
 Father Anthony Joseph Mas | Works For            | Archbishop Francis Keough
 Father Anthony Joseph Mas | Employee Of          | Archbishop Keogh High Sch
 Father Anthony Joseph Mas | Lives In             | Baltimore
 Father Bozidar Bralo      | Leader Of            | Crna Legija
 Father Branko Dobrosavlie | Parent Of            | Son of Branko Dobrosavlie
 Father Branko Dobrosavlie | Lives In             | Velinn
 Father Bruce Ritter       | Founder Of           | Covenant House
 Father Campion            | Interacted With      | Queen Elizabeth
 Father Charles Fiore      | Works For            | the Fatima News Network
 Father Columbière         | Subordinate Of       | James II
 Father Coughlin           | Leader Of            | Christian Front
 Father Dionizio Juric     | Associate Of         | Ante Pavelic
 Father Don                | Associate Of         | Vander Jagt
 Father Draganovic         | Associate Of         | Ante Pavelic
 Father Draganovic         | Lives In             | Rome
 Father Dragun             | Leader Of            | Croatian Mission in Franc
 Father Edmund Walsh       | Founder Of           | Georgetown School of Fore
 Father Etienne Guibourg   | Employee Of          | Comte de Montgommery
 Father Etienne Guibourg   | Associate Of         | La Boissière
 Father Etienne Guibourg   | Associate Of         | Sainte-Croix
 Father Felicjan Bilocca   | Member Of            | Order of St. Francis
 Father Felix Morlion      | Founder Of           | Pro Deo
 Father Filipovic          | Leader Of            | Concentration Camp of Jas
 Father Filipovic          | Leader Of            | Jasenovac
 Father Gabriel Amorth     | Employee Of          | John Paul II
 Father G. Castimir        | Leader Of            | monastery of Gunlic
 Father Girolamo           | Member Of            | Sant´Agnese in Agone
 Father Girolamo           | Member Of            | Spara
 Father Golik              | Member Of            | Istituto San Girolamo
 Father Grga Peinovic      | Leader Of            | Brotherhood of the Crusad
 Father Grga Peinovic      | Leader Of            | Ustashi Central Propagand
 Father Gury               | Works For            | Roman College
 Father Hermann            | Leader Of            | Eastern Pontifical Instit
 Father Hidalgo            | Lives In             | Mexico
 Father Innocenzo Borg     | Lives In             | Luqa
 Father Ivan Miletic       | Member Of            | Ustashi
 Father Jaegher            | Subordinate Of       | Diem
 Father Jansens            | Leader Of            | Jesuits
 Father Josemaria Escriva  | Associate Of         | Generalísimo Francisco Fr
 Father Josemaria Escriva  | Founder Of           | Opus Dei
 Father Joseph Jeyapaul    | Employee Of          | Greenbush parish
 Father Joseph Jeyapaul    | Lives In             | India
 Father Lener              | Employee Of          | Civilta Cattolica
 Father Lepre              | Leader Of            | St. Francis of Assisi Chu
 Father Luigi Taparelli D’ | Mentor Of            | Pope Leo XIII
 Father Marcial Maciel     | Parent Of            | Raul
 Father Marcone            | Employee Of          | Holy See
 Father Marcone            | Works For            | Holy See
 Father Marcone            | Works For            | Vatican
 Father Marcone            | Lives In             | Zagreb
 Father Mariette           | Partner Of           | la Leroux
 Father Mariette           | Collaborator Of      | la Voisin
 Father McCloskey          | Employee Of          | Catholic Information Cent
 Father McCloskey          | Member Of            | Opus Dei
 Father McCloskey          | Employee Of          | Princeton University
 Father Neil Magnus        | Employee Of          | Archbishop Keogh High Sch
 Father Pfanzelt           | Lives In             | Dachau
 Father Powers             | Employee Of          | Boys Town
 Father Preschern          | Associate Of         | Ustashis
 Father Radoslav Cilavas   | Member Of            | Franciscan monastery
 Father Ritter             | Member Of            | Franciscan Order
 Father Rudi Jerak         | Leader Of            | Ustashi
 Father Srecko Peric       | Member Of            | Gorica Monastery
 Father Staempfle          | Collaborator Of      | Adolf Hitler
 Father Stephen Arena Priv | Mentor Of            | Nancy Pelosi
 Father Stephen J. Privett | Mentor Of            | Nancy Pelosi
 Father St. Germain        | Subordinate Of       | James II
 Father Vesbit             | Employer Of          | Father Vesbit
 Father Walsh              | Employee Of          | Georgetown University
 Father Walsh              | Employee Of          | University of Georgetown
 Fatima                    | Child Of             | Mohammed
 Fatima                    | Child Of             | Muhammad
 Fatimah                   | Child Of             | Muhammad
 Fauci                     | Collaborator Of      | New England Journal of Me
 Faulhaber                 | Lives In             | Dachau
 Fawkes                    | Leader Of            | Gunpowder Plot
 Fawkes                    | Enemy Of             | James I
 FBI                       | Employer Of          | Operation Leap Year
 FBI                       | Subordinate Of       | United States
 Federal Bureau of Investi | Founder Of           | Charles Joseph Bonaparte
 Federal Reserve           | Associate Of         | Rothschilds
 Federico Cesi             | Lives In             | Acquasparta
 Federico Cesi             | Spouse Of            | Artemisia Colonna
 Federico Cesi             | Aunt/Uncle Of        | Bartolomeo Cesi
 Federico Cesi             | Child Of             | Federico, marchese di Mon
 Federico Cesi             | Spouse Of            | Isabella
 Federico Cesi             | Child Of             | Olimpia Orsini
 Federico Cesi             | Lives In             | Palazzo Cesi
 Federico da Montefeltro   | Lives In             | Urbino
 Federico Umberto D’Amato  | Leader Of            | Ufficio affari riservati
 Felice Casson             | Member Of            | Gladio Commission
 Felice Casson             | Member Of            | Parliamentary Commission 
 Felipe                    | Sibling Of           | Ferrand
 Felipe Calderón           | Leader Of            | Mexico
 Felipe Cirucci            | Employee Of          | JohnnyCirucci.com
 Felipe II                 | Spouse Of            | Bloody Mary Tudor
 Felipe II                 | Spouse Of            | Elisabeth
 Felipe II                 | Opponent Of          | Henry of Navarre
 Felipe II                 | Spouse Of            | Mary Tudor
 Felipe II                 | Leader Of            | Spain
 Felipe II                 | Enemy Of             | William of Orange
 Felipe III of Spain       | Parent Of            | Ana María Mauricia
 Felipe II of Spain        | Spouse Of            | Mary
 Felix                     | Sibling Of           | Paul Moritz Warburg
 Felix Niedzielski         | Leader Of            | Crusaders
 Felix of Aptungi          | Mentor Of            | Caecilianus
 Felix of Urgel            | Lives In             | Lyons
 Felix of Urgel            | Lives In             | Urgel
 Felix Rodriguez           | Interacted With      | Ernesto “Che” Guevara
 Felix Rodriguez           | Lives In             | Mena
 Felix Rodriguez           | Colleague Of         | Terry Reed
 Felix Warburg             | Employee Of          | Kuhn, Loeb & Company
 Felix Warburg             | Supporter Of         | William Howard Taft
 Fells Acres Day School    | Lives In             | Malden, Mass.
 Ferdinand I               | Parent Of            | Alfonso of Aragon
 Ferdinand I               | Leader Of            | Naples
 Ferdinand II of Aragon    | Parent Of            | Catherine of Aragon
 Ferdinand of Aragon       | Parent Of            | Catherine of Aragon
 Ferdinand Steinmayer      | Lives In             | New York
 Ferdinand the Catholic    | Spouse Of            | Isabella
 Ferdinand V               | Leader Of            | SL Leopold Foundation
 Ferdinand VII             | Leader Of            | Tribunals of the Holy Inq
 Ferdinand von Hebra       | Supporter Of         | Ignaz Semmelweis
 Ferenc Nadasdy            | Spouse Of            | Elizabeth
 Ferenc Nadasdy            | Lives In             | Sarvar
 Fernando Cardenal         | Member Of            | Society of Jesus
 Fernel                    | Associate Of         | Serpent Queen
 Ferrand                   | Child Of             | King of Majorca
 Ferrand                   | Lives In             | Montpellier
 Ferrie                    | Interacted With      | Carlos Marcello
 Ferrucci                  | Supporter Of         | Savonarola
 Fethullah Gülen           | Ally Of              | CIA
 Fethullah Gülen           | Collaborator Of      | CIA
 Fethullah Gülen           | Collaborator Of      | Grey Wolves
 Fethullah Gülen           | Adversary Of         | Islam Karimov
 Fethullah Gülen           | Founder Of           | Justice and Democratic Pa
 Fethullah Gülen           | Lives In             | Pennsylvania
 Fethullah Gülen           | Student Of           | Sheikh Sa’id-i Kurdi
 Fethullah Gülen           | Founder Of           | Turkish Cultural Center
 F. Hoyt Pilcher           | Leader Of            | Kansas Asylum for Idiots 
 F. Hoyt Pilcher           | Works For            | Winfield
 Fidel Castro              | Attended             | Bethlehem College
 Fidel Castro              | Attended             | Colegio Dolores
 Fidel Castro              | Attended             | Colegio Lasalle
 Fidel Castro              | Member Of            | Orthodox Christian Democr
 Fidel Castro              | Member Of            | Society of Jesus
 Field Marshall Lord Montg | Member Of            | Allied Forces in Europe
 Filipovitch               | Leader Of            | Jasenovac
 FilipovitchMajstorovitch  | Leader Of            | Jasenovac
 Filippo                   | Works For            | Ravenna
 Filippo Bonaccorso        | Member Of            | Franciscan Order
 Filippo Eegis             | Lives In             | Savoy valleys
 Finley                    | Interacted With      | Alexis de Tocqueville
 Finley                    | Lives In             | Baltimore
 Finmeccanica              | Ally Of              | CIA
 Finmeccanica              | Owner Of             | Selenia
 Finproggram               | Subordinate Of       | United Trading Corporatio
 Finsider                  | Owner Of             | Alfa Romeo
 Finsider                  | Owner Of             | Alitalia
 Finsider                  | Owner Of             | Italia shipping line
 Fiona Barnett             | Friend Of            | David Shurter
 Fiona Barnett             | Owner Of             | Pedophiles Down Under
 Fiona Barnett             | Attended             | Royal Commission
 Fiona Hill                | Works For            | Foreign Affairs
 Fiorenzo Angelini         | Member Of            | diocese of Messene
 Fiorenzo Angelini         | Member Of            | P2
 Fiorenzo Angelini         | Leader Of            | Pontifical Council for th
 First Peasant Wife        | Spouse Of            | Peasant Husband
 Fisher                    | Owner Of             | auto repair shop
 Fitzko                    | Student Of           | Elizabeth
 Flanagan                  | Interacted With      | World War I
 Flavio Carboni            | Member Of            | Banda della Magliana
 Flavio Carboni            | Employee Of          | CIA
 Flavio Carboni            | Partner Of           | Enzo Giovanelli
 Flavio Carboni            | Member Of            | P2
 Flavius Odoacer           | Subordinate Of       | Romulus Augustulus
 Flexner                   | Works For            | Johns Hopkins University
 Florence Nightingale      | Sibling Of           | Parthenope
 Florent de Yille          | Adversary Of         | Pedro
 Florenzo Romita           | Member Of            | P2
 Florescu                  | Colleague Of         | McNally
 Flossie Wong-Staal        | Student Of           | Robert Gallo
 Floyd Patterson           | Member Of            | Knights of Columbus
 F. Matthews               | Leader Of            | U.S. Navy
 F. Nithard                | Member Of            | Jesuits
 F. Nitti                  | Member Of            | Italian Council of Minist
 Folquet                   | Member Of            | convent of Belleperche
 Folquet                   | Lives In             | Lombardy
 Fordham University        | Lives In             | New York
 Fordham University        | Lives In             | Westchester
 Fort Detrick              | Lives In             | Maryland
 Fotich                    | Lives In             | Washington
 Foulques                  | Founder Of           | Latin Empire of Constanti
 Foulques                  | Associate Of         | Pierre de Roissi
 Foulques                  | Supporter Of         | Raymond V
 Foulques                  | Enemy Of             | Raymond VI
 Foulques                  | Leader Of            | Toulouse
 Foulques                  | Lives In             | Toulouse
 Foulques de Saint-Georges | Member Of            | Convent of Albi
 Foulques of Toulouse      | Collaborator Of      | de Beaujeu
 Foulques of Toulouse      | Associate Of         | Dominic
 fourth meeting between th | Interacted With      | Vatican
 fourth meeting between th | Interacted With      | World Council of Churches
 Fox                       | Employer Of          | Acts and Monuments
 Fox Business Network      | Employer Of          | Freedom Watch
 Fra Adamo da Como         | Adversary Of         | Giovanni Ferraloco
 Fra Aldobrandini          | Opponent Of          | Armanno
 Fra Anto                  | Lives In             | Tramosnjica
 Fra Antonio               | Interacted With      | Antonio Galosna
 Fra Antonio               | Collaborator Of      | Cathari
 Fra Antonio               | Lives In             | Treviso
 Fra Antonio Secco of Savi | Interacted With      | Giacomo Bech of Chieri
 Fra Bartolommeo della Por | Friend Of            | Savonarola
 Fra Benvenuto             | Member Of            | Franciscan
 Fra Domenico da Pescia    | Member Of            | Dominicans
 Fra Domenico da Pescia    | Subordinate Of       | Savonarola
 Fra Donato da Sant' Agata | Employer Of          | Eomagnola
 Fra Filippo Bonaccorso    | Lives In             | Treviso
 Fra Filippo of Mantua     | Employee Of          | Inquisition
 Fra Florio                | Interacted With      | Honorius IV
 Fra Giovanni di Salerno   | Employee Of          | Santa Maria Novella
 Fra Girolamo              | Member Of            | San Marco
 Fra Girolamo              | Leader Of            | San Marco
 Fra Girolamo Savonarola   | Leader Of            | Florence
 Fra Guido da Tusis        | Employer Of          | Eomagnola
 Fra Guido da Vicenza      | Interacted With      | Boniface VIII
 Fr. Aidan McGrath         | Advocate Of          | Fr. Walsh
 Fra Mondino da Bologna    | Leader Of            | Franciscans
 France                    | Supporter Of         | American Revolution
 Francesca Ambrogetti      | Colleague Of         | Pope Francis
 Francesco Cesi            | Spouse Of            | Maria Aldobrandini
 Francesco Cossiga         | Employer Of          | Aldo Moro
 Francesco della Rovere    | Leader Of            | Papacy
 Francesco Di Carlo        | Member Of            | Sicilian Mafia
 Francesco I de' Medici    | Parent Of            | Marie de' Medici
 Francesco Marchisano      | Member Of            | P2
 Francesco Marchisano      | Leader Of            | Permanent Commission for 
 Francesco Marino Mannoia  | Member Of            | Sicilian Mafia
 Francesco Marino Mannoia  | Subordinate Of       | Stefano Bontade
 Francesco Messina Denaro  | Employee Of          | Trapani Mafia
 Francesco Pazienza        | Partner Of           | Enzo Giovanelli
 Francesco Pazienza        | Member Of            | Gladio
 Francesco Pazienza        | Collaborator Of      | Henri Arsan
 Francesco Pazienza        | Interacted With      | Licio Gelli
 Francesco Pazienza        | Friend Of            | Michael Ledeen
 Francesco Pazienza        | Member Of            | P2
 Francesco Pazienza        | Associate Of         | Pippo Calò
 Francesco Pazienza        | Associate Of         | Salvatore Inzerillo
 Francesco Prelati         | Associate Of         | Barron
 Francesco Prelati         | Lives In             | Florence
 Francesco Redi            | Critic Of            | Kircher
 Francesco Redi            | Employee Of          | Medici court
 Frances Xavier Cabrini    | Founder Of           | Missionary Sisters of the
 Francis                   | Rival Of             | Dominic
 Francis                   | Lives In             | Italy
 Francis                   | Sibling Of           | Prince Henry
 Francis                   | Founder Of           | Tertiary Orders
 Francis                   | Founder Of           | the order
 Francis A. Conwell        | Member Of            | first Minnesota Regiment
 Francis Bacon             | Founder Of           | America
 Francis Bacon             | Founder Of           | New Atlantis
 Francis Blake             | Member Of            | Medical Reserve Corps
